ID|German_Text|German_StageDir
b235d02a|Soll ich dir helfen?|Kampfzuschauer, unsicher, ob er mitkämpfen soll
b22f7dc2|Als Legat habe ich die Pflichten, mich um neue Rekruten zu kümmern und abtrünnige Ketzer zu bestrafen. Ich soll mich für meine neuen Aufgaben bei Hagen und Balder melden.|
b22ea37c|Neugier kann tödlich sein!|erste Warnung, wirft Spieler raus (In einer AIZone)
b2272e7f|Spielstand xxx|
b223f045|Eilig verfasste Notiz.|
b22077a2|Schneepass|
b20d5b48||
b2044971|Anleitung|
b1fc4351|Ja, endlich hast du es begriffen.|Spieler verschwindet aus Haus oder entfernt sich mit gefährlicher Waffe
b1f38cf1|Gefährten|
b1f1677d|Du kannst von Glück sagen, dass ich dich am Leben lasse.|Am Ende einer Attack wobei der Gegner jetzt Down ist und die Attitude des Angreifers zum Gegner nicht Hostile und der Angriftsgrund nicht Kill ist (z.B. "So, das sollte reichen.").
b1e311f3|Passierschein|
b1e0a8ff|Eine schöne, heiße Suppe.|
b1dad4e6|$(name) verlässt die Gruppe.|
b1d5e589||Schmerzen. Bin von Magie/Statuseffekt betroffen. Im Stumble
b1d5e588||Schmerzen. Bin von Magie/Statuseffekt betroffen. Im Stumble
b1d5e587||Schmerzen. Bin von Magie/Statuseffekt betroffen. Im Stumble
b1d5e586||Schmerzen. Bin von Magie/Statuseffekt betroffen. Im Stumble
b1d1da09|Bonus Wuchtschlag|
b1cf3c76|Schlüssel|
b1cf2f2a|Kopfschutz|
b1cf1775|Bogen|
b1ccde87|Sprachnachricht|
b1ccde86|Verlorenes Memo|
b1c81d86|Umkreisen, umkreisen!|Kampfzuschauer, Gegner umkreisen sich
b1c81d85|Flankieren!|Kampfzuschauer, Gegner umkreisen sich
b1c81d84|Greif an!|Kampfzuschauer, Gegner umkreisen sich
b1c81d83|Los!|Kampfzuschauer, Gegner umkreisen sich
b1be8b19|Toller Schuss!|
b1b9d915|Mehr hast du nicht dabei? Erbärmlich.|
b1afb3ca|Berserker|
b1afb3c9|Berserker|
b1abecee|Reißer|
b1a5f1da|Grafik Modus|
b1a3e4e8|Mit ihrer Hilfe sondern die verschiedensten Kreaturen ihr Sekret ab.|
b1a2be92|Auf geht's!|ich helfe einem Freund gegen einen Feind oder ein Monster
b1a2be91|Den machen wir Platt!|ich helfe einem Freund gegen einen Feind oder ein Monster
b1a2be90|Ich helfe dir!|ich helfe einem Freund gegen einen Feind oder ein Monster
b1a087d8|Wähle zwischen einer erhöhten Leistung oder einer höheren Auflösung|
b18ab408|„Überleben“ abgeschlossen.|
b17dd045|Jetzt aber weiter.|in ZS_GuidePlayer_Wait, wenn es wieder weiter geht weil Player nah genug an Guide
b17dd044|Nicht trödeln.|in ZS_GuidePlayer_Wait, wenn es wieder weiter geht weil Player nah genug an Guide
b17dd043|Fall nicht zu weit zurück.|in ZS_GuidePlayer_Wait, wenn es wieder weiter geht weil Player nah genug an Guide
b177a5c4|Adjutor - Attribute|
b177501a|Anlage komplett heruntergefahren.\r\nKaum jemand ist noch dageblieben.\r\nGroßteil der Mitarbeiter ist geflohen.\r\nSicherheitsalarm am Tor ausgelöst.\r\nKein Wachpersonal mehr vorhanden.\r\nMehrere Gestalten haben einen Großteil des Geländes eingenommen.\r\nHabe einige Detonationen gehört.\r\nEs wird nicht mehr lange dauern, bis sie die Gebäude eingenommen haben.|
b1763585|Jetzt ist mir schwindelig.|erhebt sich schwerfällig nach K.O.
b174cbba|Kurze letzte Nachricht von Daisy.|
b1696b6a|Einzigartiger Plasmablaster. Tötet schnell und zuverlässig.|
b1667fd4|Grisu|
b162b605|Sie zwingen dich in ihren Glauben. Mein Kopf ist voll mit Geistern. Calaan schwebt über allem, aber ich habe mich losgesagt. Niemals werde ich zurückgehen. Ich habe mir meine Freiheit zurückgenommen.\r\nLangsam vergiften sie dein Denken und nennen es Reinheit. Sie zwingen deine Gedanken in Fesseln und verschmelzen dich mit der Masse ihrer Gläubigen. Ich kann alles machen, was ich will, gehen wohin ich will.\r\nAber ich weiß nicht wohin. Es ist plötzlich so leer, ohne die strengen Zügel, die ich abgeworfen habe. Zum ersten Mal in meinem Leben bin ich frei, aber das macht mir Angst...|
b15e7b56|Stör mich nicht....|in StartSayRefuseTalk bei AIMode Sleep
b1598c8b|Gut.|Spieler hat Waffe oder Zauber wieder weggesteckt
b1545059|Die Krallen sind weg|
b148afab|Das lass ich lieber.|Da gibt es keinen Grund für.
b146abe2|Meisterliches Schwert der Kleriker-Regenten. Höchst effizient durch PSI-Verbesserung.|
b1414c25|Ich muss jetzt wirklich los.|NPC verlässt SmallTalk Gruppe
b13e7e69|%ls gefällt deine Entscheidung nicht.|
b1378abf|Mehr hast du nicht dabei?|
b1349361|Überlegenes Regentenschwert der Kleriker. PSI-Spezifizierung.|
b1318c39|Spruch Lederhaut|
b1301889|Bewirkt eine Zeit lang eine höhere Resistenz gegen Feuer.|
b1227ae0|Verbessertes Regentenschwert der Kleriker. PSI-Spezifizierung.|
b12262ed|Du brauchst nicht noch einen Begleiter.|via Infosystem bei versuchtem JoinPlayerParty, was aber nicht mgl. weil Party bereits voll.
b115af6e|Fabrikwache|
b115af6d|Grubenwache|
b10f38c9|Häscher|
b10d909b|Stereo|
b0f0d75c|Ey geht’s noch?|Freund, Feigling oder Kampfzuschauer wurde getroffen
b0e87332|War's das schon?|Mein (humanoider) Freund hat im Kampf verloren und mir gefällt der ausgang des kampfes nicht.
b0e87331|Na los... Steh doch auf...|Mein (humanoider) Freund hat im Kampf verloren und mir gefällt der ausgang des kampfes nicht.
b0e87330|Scheiße...|Mein (humanoider) Freund hat im Kampf verloren und mir gefällt der ausgang des kampfes nicht.
b0db7782|Feuerspalter II|
b0d924f4|Stasis-Regentenschwert III|
b0c1a48f|Befehl zum Rückzug|
b0bb323e|Anleitung|
b0b8b92b|Sockel|
b0a80194|Benutze den Aufzug|
b0a4ac14|Breitschwert III|
b0a4ac13|Breitschwert II|
b0a4ac12|Breitschwert I|
b0a25bee|Energiequelle für alle Laserwaffen.|
b09c3a40|Ganz sachte, ja?|Spieler hat gefährliche PSI. -ich bin vorsichtig.
b09ada57|Reaches up to his helmet|
b097c113|Beschwört ein Kraftschild, das dich zusätzlich vor Schaden schützt.|
b092d385|Falk|
b0821d63|Willkommen: %s|
b081b318|Chloe hat einige Reichtümer, ich sollte sie ihr abnehmen. Ich habe von Rat einen Schlüssel bekommen. Chloes Wertsachen befinden sich vermutlich irgendwo im hinteren Bereich ihrer Bar.|
b07fa0a6|Gesockeltes Regentenschwert III|
b07ef2ff|Das Biest hat es so gewollt.|Kampf beobachtet. Monster hat verloren.
b07ef2fe|Scheiß Biest.|Kampf beobachtet. Monster hat verloren.
b07ef2fd|Das Vieh steht nicht mehr auf.|Kampf beobachtet. Monster hat verloren.
b07db2e8|Näherungszünder|
b0785ecd|Pfennigfuchser|
b06e4388|Teleporter|
b06a46cb|Aggressiv|
b063bff8|Der Befehl von Ragnar, dem Statthalter Goliets, hatte etwas anderes vorgesehen. Und so wandelte der Mörder von Askor weithin unbehelligt unter ihnen.|
b05e4e7d|Mad Bob|
b05e3f6f|Numpad 9|
b05e3f6e|Numpad 8|
b05e3f6d|Numpad 7|
b05e3f6c|Numpad 6|
b05e3f6b|Numpad 5|
b05e3f6a|Numpad 4|
b05e3f69|Numpad 3|
b05e3f68|Numpad 2|
b05e3f67|Numpad 1|
b05e3f66|Numpad 0|
b05dd98f|Na toll...jetzt fängt er an zu stinken.|Jemand stirbt durch Sturz. (auch nach Jetpack)
b05c498a|NumLock|
b05a4116|Ich habe einen Vertrag gefunden, der offensichtlich von Zardom geschrieben wurde. Darin ist die Rede von einem Verwandlungszauber eines Schakals in einen Menschen. Ebenfalls ist vermerkt, dass Zardom mit dem Outlaw Ray gemeinsame Sache gemacht hat. Sie sind dafür verantwortlich, dass mein Gleiter vom Himmel geschossen wurde. Interessant zu wissen, was Ray dazu sagt.|
b058d79d||ich werde getroffen - kurzes, hartes Ächzen
b058d79c||ich werde getroffen - kurzes, hartes Ächzen
b058d79b||ich werde getroffen - kurzes, hartes Ächzen
b058d79a||ich werde getroffen - kurzes, hartes Ächzen
b058d799||ich werde getroffen - kurzes, hartes Ächzen
b04b8f13|Was...wie?|in ZS_Talk einleitend falls zuvor AIMode Sleep und keine Important/News/Refuse ("Maaan. weißt du eigentlich wie spät es ist?")
b04b00f4|Sprengrakete|
b04601a7|Sie haben aber einen Fehler gemacht und nur drei Männer hiergelassen. Es wird ein Leichtes, sie auszuräuchern. Heute Nacht holen wir uns die Schlucht zurück!\r\nPS: Wenn du das hier ließt, Kalle, dann mach dich auf eine Welt der Schmerzen gefasst.\r\nPPS: Blake, bitte frag Kalle, ob er das hier gelesen hat. Sag mir Bescheid, wenn er sich verdächtig verhält. |
b0458c65|Alter Skex|
b0400eb1|Ganz sachte, ja?|erste Warnung, Feigling wird bedroht
b0384633|Deine Geschichte|
b0317527|Guter Schuss!|
b0255593||Schmerzen. Bin von Magie/Statuseffekt betroffen. Im Stumble
b0255592||Schmerzen. Bin von Magie/Statuseffekt betroffen. Im Stumble
b0255591||Schmerzen. Bin von Magie/Statuseffekt betroffen. Im Stumble
b0255590||Schmerzen. Bin von Magie/Statuseffekt betroffen. Im Stumble
b0225d06|Die Berserker haben die Schlucht zurückerobert.|
b021f3d3|Wallfahrt eines Akolythen|
b01f1c27|Schlag doch zu!|
b01d9756|Plasmazelle|
b019e53e|Verzieh dich bloß!|Ich bin sauer und will nicht mit dir reden
b012b3bf|Du hast ordentlich eingesteckt.|Sieger in einem Kampf gegen ein Monster hat mit weniger als 50% Lebenspunkten (Ist verwundet) den Kampf gewonnen und ich kommentiuere den Kampf.
b012b3be|Du hast ganz schön bluten müssen.|Sieger in einem Kampf gegen ein Monster hat mit weniger als 50% Lebenspunkten (Ist verwundet) den Kampf gewonnen und ich kommentiuere den Kampf.
b012b3bd|Verbind deine Wunden wenn du keine Infektion willst.|Sieger in einem Kampf gegen ein Monster hat mit weniger als 50% Lebenspunkten (Ist verwundet) den Kampf gewonnen und ich kommentiuere den Kampf.
b00f3c66|Damit kann man einen Trank herstellen, der normale Wunden heilt.|
b0072551|Du willst es ja nicht anders.|Spieler hat nicht auf Warnung gehört, wird angegriffen
b004246b|Da bin ich.|Da bin ich wieder. NPC Schließt sich wieder der PlayerParty an
affa6849|Kammer des Hybriden|
aff814c8|Seltsames Fleisch|
aff3d9a1|Argh, das war schmerzhaft.|Feind wurde getötet. Ich bin angeschlagen. Nach dem Kampf.
aff3d9a0|Das...hat Spuren hinterlassen.|Feind wurde getötet. Ich bin angeschlagen. Nach dem Kampf.
afedab58|Geh einfach ja?|zweite Warnung, Feigling wird bedroht
afe4d296|Die neun Hinweise|
afe49de2|Handgeschnitzter Holzpfeil. Erfüllt seinen Zweck.|
afe48f2b|So etwas wird hier nicht gedulded.|Schläger wir attackiert
afe47a89|Fächerschuss|
afe08ff1|Jetpack|
afdd2b0e||
afcb6dcb|Slugbeast|
afc71702|Hey... ganz ruhig ja?|erste Warnung, Feigling wird bedroht
afc366b0|Sprengstoffvorrat|
afc1074e|Stabiles Jagdinstrument. Beständig und leicht zu transportieren. |
afbc5b31|Elektronische Einzelteile sind vielseitig verwendbar. Wer kein handwerkliches Talent besitzt, kann sie auch einfach verkaufen.|
afbc5b30|Elektronische Einzelteile sind vielseitig verwendbar. Wer kein handwerkliches Talent besitzt, kann sie auch einfach verkaufen.|
afbc5b2f|Elektronische Einzelteile sind vielseitig verwendbar. Wer kein handwerkliches Talent besitzt, kann sie auch einfach verkaufen.|
afbc5b2e|Elektronische Einzelteile sind vielseitig verwendbar. Wer kein handwerkliches Talent besitzt, kann sie auch einfach verkaufen.|
afb7be19|Das hat er verdient.|Kampf beobachtet. Unterlegene ist eie Frau. NPC ist pro Sieger
afb7be18|Sehr schön.|Kampf beobachtet. Unterlegene ist eie Frau. NPC ist pro Sieger
afb7be17|Gut so!|Kampf beobachtet. Unterlegene ist eie Frau. NPC ist pro Sieger
afb53650|Was für ein Schlag!|
afafb791|Du willst es ja nicht anders!|Spieler hat nicht auf Warnung gehört, wird angegriffen
afaf0490|Synthetisch|
afae090c|Du gehst oder es gibt Ärger!|zweite Warnung, vertreibt Einringling, open air
afab5cfa|Berserker|
afa76de9||
af9d5191|Altes Buch mit Notizen aus einem Wohnhaus der alten Welt.|
af98aff5|Du hast dich für den schwereren Weg entschieden.|
af96091e|Das hätte ins Auge gehen können.|Sieger in einem Kampf gegen ein Monster hat mit weniger als 50% Lebenspunkten (Ist verwundet) den Kampf gewonnen und ich kommentiuere den Kampf.
af96091d|Der Kampf hatte es in sich.|Sieger in einem Kampf gegen ein Monster hat mit weniger als 50% Lebenspunkten (Ist verwundet) den Kampf gewonnen und ich kommentiuere den Kampf.
af96091c|Haarscharf.|Sieger in einem Kampf gegen ein Monster hat mit weniger als 50% Lebenspunkten (Ist verwundet) den Kampf gewonnen und ich kommentiuere den Kampf.
af796674|Ölfass|
af765c13|Steht den Projektil- und Energiewaffen der Outlaws und Kleriker in nichts nach.|
af7426a0|Bis zur Mittagsstunde schlafen.|
af6dfe3d|Schlägel III|
af6dfe3c|Schlägel II|
af6dfe3b|Schlägel I|
af6cc151|%ls gefällt das nicht.|
af6ae9d5|Ich hab gesagt verschwinde!|zweite Warnung, vertreibt Einringling, open air
af6787fa|Mission: Die Kleriker kennen das Geheimnis, Elex als Energiequelle zu nutzen. Wenn wir in Zukunft in der Lage sein sollten, selber Maschinen zu unserem Schutz abzustellen, ist dieses Wissen von unschätzbarem Wert, denn ohne ausreichend Energie laufen die Dinger einfach nicht! \r\nJemand muss sich in das Archiv der Kleriker begeben und dort die nötigen Forschungsunterlagen beschaffen. \r\nBelohnung: 600 Splitter\r\nRisiken: Das Archiv ist für Außenstehende nicht zugänglich. Wer nicht zur Fraktion der Kleriker gehört, erhält keinen Einlass. Es muss aber andere Wege hinein geben! Außerdem sind die Archivare angewiesen, Unbefugte sofort hinauswerfen zu lassen. Des Weiteren liegen nicht alle Forschungsunterlagen im Archiv aus, einige sind sicher auch in den Taschen eines Archivars oder einer Archivarin zu finden.|
af66a0b8||
af65463f||
af61392e|Ein Rezept für eine von innen wärmende Suppe.|
af5c6787|Du wagst es!|Spieler hat mich geschlagen, ich greife an
af5b401d|Testroutine3|
af5b401c|Testroutine2|
af5b401b|Test Routine 3|
af5b4003|Test Routine 2|
af5b4002|Ich kenne einen der Schmuggler. (Shorty verraten)|
af5b4000|Meinst du die hier? (Xanders Kralle zeigen)|
af5b3fff|Meinst du die hier? (Rats Kralle zeigen)|
af5b3ffe|Nichts. (Eva die Wahrheit verschweigen)|
af5b3ffd|Ein paar Outlaws haben mich ausgeraubt. (Lügen)|
af5b3ffa|Ich weiß, wer Waffen in die Kuppelstadt schmuggeln will. (Paige verraten)|
af5b3fe2|Nein. (Lüge)|
af5b3fe1|Überleg es dir, sie zahlen gut. (Rider bestechen)|
af5b3fe0|(Sprengladung platzieren)|
af5b3fdf|(Zugangsberechtigungen zum Archiv manipulieren)|
af5b3fde|Kannst du diese Waffen gebrauchen? (Klerikerwaffen zeigen)|
af5b3fdd|Dein Angebot ist mir egal. (Keith angreifen)|
af5b3fdc|Ich habe, was du wolltest. (Arvids Lehren übergeben)|
af5b3fdb|Ich habe mein Meldeabzeichen verloren. (Lüge)|
af5b3fda|Ich habe jemanden in Verdacht. (Shorty bezichtigen)|
af5b3fc1|Hier sind die Splitter.|
af5b3fc0|Wir können das auch anders klären. (Shorty drohen)|
af5b3fbf|Hier hast du die Splitter.|
af5b3fbd|Diese Waffe sollte deinen Ansprüchen genügen. (Granatwerfer zeigen)|
af5b3fba|Er hat recht. Du bist Abfall. (Riley provozieren)|
af5b3fb9|Dir mangelt es an Respekt. (Brabak provozieren)|
af5b3fb8|Wir können das auch anders regeln. (Drohen)|
af5b3fa0|Antenne neu kalibrieren und Abhörvorrichtung platzieren.|
af5b3f9f|Antenne neu kalibrieren.|
af5b3f9e|Nein. (ID Karte nicht vorzeigen)|
af5b3f9d|Hier ist sie. (ID vorzeigen)|
af5b3f9c|Ja. (Radok angreifen)|
af5b3f9b|Du bist wieder im Geschäft. (Waffenlieferung übergeben)|
af5b3f9a|Ich nehme euch aus dem Spiel. (Angreifen)|
af5b3f99|Ich habe genug von dir. (Trevor angreifen)|
af5b3f98|Falsch. Sie IST soeben abgelaufen. (Trevor angreifen)|
af5b3f97|Ich habe das hier bei den toten Klerikern gefunden. (Klerikerwaffe zeigen)|
af5b3f7f|Ich will mein Elexit wiederhaben. (Iron Madison provozieren)|
af5b3f7e|Cindy will, dass du aus dem Weg geräumt wirst. (Cindy verraten)|
af5b3f7d|Meinst du die hier? (Kattas Kralle zeigen)|
af5b3f7c|(Lösegeld für Frank bezahlen).|
af5b3f7a|Das wirst du von mir nicht erfahren. (Iron Madison provozieren)|
af5b3f79|(Weitererzählen).|
af5b3f78|(Volkmars Waffe abkaufen).|
af5b3f77|CSGunnAmbushArena|
af5b3f76|Hier, der geht aufs Haus. (Big Jim vergiften)|
af5b3f5e|(Gunn einen großen Batzen Splitter geben)|
af5b3f5d|(Gunn einen Batzen Splitter geben)|
af5b3f5c|(Gunn eine handvoll Splitter geben)|
af5b3f5b|Auf einen fairen Kampf! (Bier anbieten)|
af5b3f59|(Kiste ablegen)|
af5b3f58|Hier. Kauf dir davon etwas.|
af5b3f57|Rück dein Zeug raus. (Ethan ausrauben)|
af5b3f56|Hast du danach gesucht? (Blaupausen übergeben)|
af5b3f55|Was du nicht sagst. (Ethan ausrauben)|
af5b3f3c|(Nichts sagen).|
af5b3f3b|Tote reden nicht. (Drog drohen)|
af5b3f3a|Ich mache mit dir keine Geschäfte. (Bigby angreifen)|
af5b3f38|(Irdor das schimmlige Brot übergeben)|
af585e25|Wirds bald?|Kampfzuschauer, Gegner umkreisen sich
af585e24|Kämpfen, nicht rumeiern!|Kampfzuschauer, Gegner umkreisen sich
af585e23|Jetzt lasst euch nicht lange bitten!|Kampfzuschauer, Gegner umkreisen sich
af585e22|Wann passiert denn mal was?|Kampfzuschauer, Gegner umkreisen sich
af514009|Gut getroffen!|
af4fc3f2|Was machst du da?|Spieler begeht kleinen Diebstahl oder macht Unsinn (zb. an Truhe gehen aber nichts nehmen.)
af4fc3f1|Okay...|Spieler begeht kleinen Diebstahl oder macht Unsinn (zb. an Truhe gehen aber nichts nehmen.)
af4fc3f0|Ääähm...|Spieler begeht kleinen Diebstahl oder macht Unsinn (zb. an Truhe gehen aber nichts nehmen.)
af4cc208|Mörder!|Mörder wird attackiert
af45afdc|In diesen Schlägel der Berserker kann man einen zusätzlichen Stein einsetzen.|
af43acd2|Spiel mit deiner Magie woanders rum, sonst setzt's was!|zweite Warnung: Spieler soll Zauber wegstecken
af4277de|Ja.|Alles klar/Mach ich
af4277dd|Okay.|Alles klar/Mach ich
af4277dc|Alles klar.|Alles klar/Mach ich
af41b4cd|Mein Vermächtnis|
af3e45ec|Dadurch hast du mit jeder Stufe einen weiteren Versuch beim Hacken.|
af2fd1df|Alter Notizzettel|
af2bb435|Caldrim|
af166098|Immer in die Offensive!|Kampfzuschauer, Favorit greift an
af166097|Da kommt der Schmerz!|Kampfzuschauer, Favorit greift an
af166096|Jetzt geht’s rund!|Kampfzuschauer, Favorit greift an
af166095|Gleich spritzt das Blut!|Kampfzuschauer, Favorit greift an
af04d0d5|Intelligenz gibt deine geistige Leistungsfähigkeit wieder. Sie erhöht je nach Fraktionszugehörigkeit dauerhaft dein Mana oder deine PSI-Kraft und ermöglicht dir bestimmte Fähigkeiten zu erlernen.|
af025171|Stärke gibt deine physische Kraft wieder. Sie erhöht deinen Nahkampfschaden und ermöglicht dir bestimmte Gegenstände zu benutzen und Fähigkeiten zu erlernen.|
aefa2096|Die Kleriker sollen bei einer Ruine im Nordwesten von Goliet ein paar Mutanten zum Opfer gefallen sein. Dort sollte ich mit meiner Suche beginnen.|
aed93523|Selbst nach dem Scheitern seines Elex-Experiments, das nicht die erhoffte Wende im Krieg gegen die Albs brachte, kämpfte Thorald weiter für alle freien Menschen von Magalan.|
aeb50601|Eine Liste auf der Vorräte aufgelistet sind.|
aeb33bd4|Erhöht die Lebenskraft und den Rüstungsschutz.|
aeb2b62b|Harter Hund|
aeb18c3d|NICHT mit mir!|Kampf beobachtet. Monster hat verloren.
aeb18c3c|Das Biest ist hin.|Kampf beobachtet. Monster hat verloren.
aeb18c3b|Nicht mit mir, Mistvieh!|Kampf beobachtet. Monster hat verloren.
aeae3517|Los! Knall ihn ab!|
aeac9cc1||
ae9cb76a|Nein, hier folge ich dir nicht.|Wenn ich "Komm mit!" sage und dabei selber in einer NoPartyArea stehe (z.B. "Dahin folge ich Dir nicht.").
ae96eb24|In dieses meisterliche Hornschwert der Berserker kann man zusätzlich einen Stein einsetzen.|
ae8f07cd|Hier gehe ich nicht weiter.|Wenn ich "Komm mit!" sage und dabei selber in einer NoPartyArea stehe (z.B. "Dahin folge ich Dir nicht.").
ae8d0a6f|Munition herstellen|
ae864ee1|Feuerspalter I|
ae8411cf|In dieses Schrottbeil der Outlaws kann man zusätzlich einen Stein einsetzen.|
ae7d04f1|Nimm die Magie runter!|erste Warnung, Spieler soll Zauber wegstecken
ae74c3a9|Die Kleriker in Ignadon|
ae6bf340|Damit lässt sich ein Amulett herstellen, dass im Kampf einmalig eine zweite Chance gibt.|
ae66b771|Na warte!|Schläger wir attackiert
ae60273a|Aufzeichnung eines Sekretärs|
ae602739|Geheime Gesprächsaufzeichnung 2|
ae602738|Lauris Memo 4|
ae602737|Lauris Memo 3|
ae602736|Lauris Memo 2|
ae602735|Lauris Memo 1|
ae602734|Alter Audiomitschnitt|
ae602733|Geheime Mitteilung|
ae602732|Aufzeichnung eines Mitarbeiters|
ae5f1bd9|Diese Nachricht habe ich in der Tasche eines toten Berserkers gefunden.|
ae5e32d7|Caja ist mittlerweile mehr als nur eine treue Gefährtin. Es wird vielleicht Zeit, der Einsamkeit ein Ende zu setzen.|
ae5cd0ce|Scheiße, dass hat weh getan.|erhebt sich schwerfällig nach K.O. - nur Party oder Guides (Triggered zu 50% gemischt mit SVM_StandUp)
ae4f4dd2|Vor den Toren der Stadt|
ae390b2e|Technisch versiert|
ae380d17|Schlösser sind leichter zu öffnen und Taschendiebstahl wird leichter.|
ae3507e5|Verwandelt Lebensenergie in Mana.|
ae308fc8|Rat will, dass ich mich auf die Fersen seines Schutzgeldeintreibers Burns hefte und gut aufpasse, wie viel Schutzgeld er eintreibt. Der Typ ist neu und Rat traut ihm nicht. Sobald Burns das Geld an Rat übergeben hat, soll ich Rat Bericht erstatten, ob alles korrekt abgewickelt wurde.|
ae27348b|Mehr hast du nicht dabei?|
ae23739e|abgeklärt|
ae1e845f|Bericht zu Objekt RHS95 im Konverter in Ost-Xacor.|
ae1defee|Der Pflanzenhehler|
ae1b71d5|Rock ist ein Setzer, der seinem alten Leben nichts mehr abgewinnen kann. Ich soll ihm Trockenfleisch, Wasser und eine Waffe besorgen. Erst dann sieht er sich im Stande, die Reise zu den Outlaws der Wüste zu schultern, da er sich ihnen anschließen möchte.|
ae168991|Das machst du nicht ungestraft!|Schläger wir attackiert
ae10b83a|Das kann ich mir nicht vorstellen...|Verständliches Gemurmel im Hintergrund
ae10b839|Ist das so?|Verständliches Gemurmel im Hintergrund
ae10b838|Früher war alles besser...|Verständliches Gemurmel im Hintergrund
ae10b837|Damals wäre er dafür nicht bestraft worden.|Verständliches Gemurmel im Hintergrund
ae10b836|Er hätte das nicht tun dürfen...|Verständliches Gemurmel im Hintergrund
ae10b835|So eine Scheiße...|Verständliches Gemurmel im Hintergrund
ae10b834|Wie soll es denn jetzt weitergehen?|Verständliches Gemurmel im Hintergrund
ae10b833|Wie ist das überhaupt möglich?|Verständliches Gemurmel im Hintergrund
ae10b832|Hab ich doch auch gerade gesagt.|Verständliches Gemurmel im Hintergrund
ae10b831|Aha...|Verständliches Gemurmel im Hintergrund
ae0f850e|Ray|
ae0e9757|Durch glückliche Umstände und dem zweckmäßigen Denken seines Richters entging Duras seiner gerechten Strafe.|
ae09d49f|Bertram hat sich mir offenbart und mir erzählt, dass er ein Kleriker ist.|
ae010144|Sicherheitsprotokoll|
adffe467|Durch doppelte Durchschlagskraft ist diese Waffe auf kurze Distanz sehr effektiv.|
adfeba03|Verbesserter Bekehrer der Kleriker. Energie-Spezifizierung.|
adfba0b2|Berserkerstadt Goliet betreten|
adeb5ff2|Damit kann man einen Stim herstellen, der eine Zeit lang eine höhere Resistenz gegen Gift bewirkt.|
ade97d2e|Fehlerhafte Drohne|
ade748c0|Ein paar Kleriker brauchen ihr Zeug nicht mehr, ich sollte es einsammeln.|
ade711bc|s|
ade67554|Giftschlägel III|
ade59826||Angriffsgeräusche. Schnaufen, Ächzen etc (Nur Nahkampf)
ade59825||Angriffsgeräusche. Schnaufen, Ächzen etc (Nur Nahkampf)
ade59824||Angriffsgeräusche. Schnaufen, Ächzen etc (Nur Nahkampf)
ade59823||Angriffsgeräusche. Schnaufen, Ächzen etc (Nur Nahkampf)
ade59822||Angriffsgeräusche. Schnaufen, Ächzen etc (Nur Nahkampf)
ade18f7e|Kopflos in Ignadon|
addc2a4c|Weg mit der Magie!|erste Warnung, Spieler soll Zauber wegstecken
addbf238|Damit kann man einen Energiespeicher herstellen, der die mentale Energie wieder vollständig auffüllt.|
add31969|Rückeroberung|
adb8f7a4|0943\r\nEin unbekanntes Flugobjekt wurde vom Radar erfasst.\r\nReagiert auf keine Funksignale.\r\nJäger 07B und 13B darauf angesetzt.|
adb5f4e8|Auf der Lauer|
adb21d75|Ich hasse es geweckt zu werden.|in ZS_Talk einleitend falls zuvor AIMode Sleep und keine Important/News/Refuse ("Maaan. weißt du eigentlich wie spät es ist?")
adabd60f|Explosion|
ada8060b|Steigert den Rüstungswert und Schlösser sind leichter zu öffnen.|
ad7ff0ae|Die Modifikationen dieser Waffe lassen zwei Dinge vermuten: 1. Sie ist für die Jagd auf große Lebewesen spezialisiert und 2. ihr Erfinder ist wahnsinnig.|
ad7e4ab1|Ausgesperrt|
ad7924ec||ich werde bewusstlos durch einen schweren Treffer
ad75ab99|Standardmunition für alle Schrotflinten.|
ad712201|Arbeitsprotokoll 2711|
ad6efafc|Der Lagermeister Eckard will mich aus dem Lager der Mitte werfen. Wird Zeit, dass ich ihm klarmache, wer der Herr im Hause ist.|
ad6e9d5b|Geliebte Daisy|
ad6d60f4|Die Maulschelle|
ad5e9082|Guter Kampf.|NPC beobachtet das Monster oder NPC besiegt wurde und findet dies gut. ("Nicht schlecht!")
ad5e9081|Gut gemacht.|NPC beobachtet das Monster oder NPC besiegt wurde und findet dies gut. ("Nicht schlecht!")
ad5d40ee||
ad3edc2b|Suchst du etwas?|Spieler in meinem Raum, ich bin misstrauisch
ad3edc2a|Stell hier ja nichts an.|Spieler in meinem Raum, ich bin misstrauisch
ad3edc29|Du benimmst dich hier, ja?|Spieler in meinem Raum, ich bin misstrauisch
ad3cd803|Mir reichts.|
ad3b9e1e|Nr.|
ad3a855c|Nr.|
ad38c20b|Du mieses Schwein!|Spieler hat mich geschlagen, ich greife an
ad31ffd1|Du sollst gehen. Ich wiederhole mich nicht gerne.|zweite Warnung, wirft Spieler raus (Nicht unbedingt aus einem Haus)
ad318458|Kampfmaschine|
ad30b30e|Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.|
